Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
MLSP, 30000-1,North Bldg 1001G,MTH,1:00 PM,Gutala Ramana Venkata,100 mins
MLSP, 30000-2,Brook E E106,MTH,3:00 PM,Mahajan Muktar,100 mins
MLSP, 34900-1,North Bldg 1001G,TF,4:00 PM,Raffaniello Robert D,75 mins
MLSP, 34900-2,Brook W 235,MTH,1:00 PM,Einheber Steven,75 mins
MLSP, 35100-1,Brook E E106,TTH,11:00 AM,Sabharwal Hemant Kant,100 mins
MLSP, 35500-1,Brook W 235,WF,10:00 AM,Gutala Ramana Venkata,75 mins
MLSP, 36100-1,Brook E E105,WF,11:00 AM,Einheber Steven,100 mins
MLSP, 41000-1,Brook W 235,WF,2:00 PM,Powell Vivien,75 mins
MLSP, 43000-1,Brook E E105,TTH,10:00 AM,Euler Chad William,75 mins
MLSP, 43000-2,Brook E E016,WF,10:00 AM,Mahajan Shahana,75 mins
MLSP, 45700-1,North Bldg 1001G,TF,10:00 AM,Rodriguez Morales Abigail,100 mins
SSW, 71700-1,Silberman 324,F,8:00 AM,Giunta Nancy,200 mins
SSW, 71700-2,Silberman 215,W,12:00 PM,Williams Ovita F,200 mins
SSW, 71700-3,Silberman 220,W,10:00 AM,Marji Shadia,200 mins
SSW, 71700-4,Silberman 219,T,11:00 AM,Gilbert Maricella Dinah,200 mins
SSW, 71700-5,Silberman 329,T,10:00 AM,Brown Shoshana A,200 mins
SSW, 71700-6,Silberman 326,F,9:00 AM,Williams Ovita F,200 mins
SSW, 76100-1,Silberman 328,TH,7:00 PM,Veasley Rachelle D,200 mins
SSW, 76300-1,Silberman 219,MTH,1:00 PM,Marji Shadia,75 mins
SSW, 76700-1,Silberman 215,MTH,11:00 AM,Okuda Kanako,75 mins
SSW, 79653-1,Silberman 219,MF,5:00 PM,McFadden Tiffany,75 mins
STAT, 11300-1,North Bldg 306,WF,2:00 PM,Martinez Vincent Ryan,75 mins
STAT, 11300-2,West Bldg W506,MF,4:00 PM,Clarkson Sandra,75 mins
STAT, 11300-3,North Bldg 306,TTH,1:00 PM,Williams William H,75 mins
STAT, 11300-4,West Bldg W609,MW,2:00 PM,Williams William H,75 mins
STAT, 11300-5,East Bldg E920,MTH,4:00 PM,Williams William H,75 mins
STAT, 11300-6,West Bldg W506,TTH,2:00 PM,Clarkson Sandra,75 mins
STAT, 11300-7,West Bldg W609,MF,4:00 PM,Martinez Vincent Ryan,75 mins
STAT, 11300-8,West Bldg W113,TF,3:00 PM,Williams William H,75 mins
STAT, 21200-1,West Bldg W405,MF,6:00 PM,Williams William H,100 mins
STAT, 21300-1,West Bldg W116,W,10:00 AM,Clarkson Sandra,200 mins
STAT, 21300-2,West Bldg W603,W,9:00 AM,Williams William H,200 mins
STAT, 21300-3,West Bldg W214,F,8:00 AM,Clarkson Sandra,200 mins
